,Nation,Playername,Truns,Average,StrikeRate,score
0,England,JE Root,2057,64.28,89.39,730.685
1,England,JM Bairstow,1648,56.82,107.92,747.05
2,England,JJ Roy,1548,38.70,103.89,615.165
3,England,EJG Morgan,1521,41.10,94.53,598.0050000000001
4,England,AD Hales,1203,40.10,101.60,616.25
5,England,JC Buttler,1170,46.80,114.48,704.88
6,England,BA Stokes,1161,58.05,94.69,708.74
7,England,MM Ali,719,27.65,113.22,575.995
8,England,CR Woakes,436,39.63,107.65,634.3700000000001
9,England,AU Rashid,197,16.41,91.62,427.33500000000004
10,England,SW Billings,181,22.62,78.69,422.44499999999994
11,England,DJ Willey,180,22.50,84.50,442.0
12,England,LE Plunkett,132,16.50,104.76,473.91
13,England,BM Duckett,123,41.00,80.92,549.72
14,England,JM Vince,80,20.00,85.10,427.84999999999997
15,England,TK Curran,70,70.00,129.62,908.6700000000001
16,England,JT Ball,38,9.50,77.55,333.175
17,England,TS Roland-Jones,37,0,100.00,350.0
18,England,MA Wood,18,4.50,85.71,329.23499999999996
19,England,SM Curran,15,15.00,71.42,347.47
20,England,CJ Jordan,15,0,83.33,291.655
21,England,LA Dawson,10,10.00,76.92,334.22
22,England,ST Finn,5,5.00,71.42,282.47
23,England,C Overton,0,0,0,0.0
24,Australia,DA Warner,1641,52.93,104.78,710.7750000000001
25,Australia,TM Head,1257,38.09,91.41,567.52
26,Australia,AJ Finch,1116,39.85,97.29,599.5400000000001
27,Australia,SPD Smith,1085,43.40,83.39,573.9649999999999
28,Australia,MP Stoinis,638,49.07,101.26,673.365
29,Australia,MS Wade,516,28.66,91.81,507.625
30,Australia,GJ Bailey,424,38.54,73.86,509.02
31,Australia,GJ Maxwell,418,29.85,105.55,563.45
32,Australia,MR Marsh,404,28.85,91.19,506.68999999999994
33,Australia,SE Marsh,327,40.87,98.79,611.4200000000001
34,Australia,JP Faulkner,154,19.25,75.12,388.045
35,Australia,TD Paine,153,21.85,81.81,428.36
36,Australia,PSP Handscomb,149,21.28,100.00,488.32
37,Australia,UT Khawaja,144,28.80,82.28,475.18000000000006
38,Australia,AC Agar,139,23.16,92.05,472.71500000000003
39,Australia,PJ Cummins,110,12.22,79.71,358.41499999999996
40,Australia,JW Hastings,91,30.33,100.00,547.145
41,Australia,DJM Short,83,41.50,85.56,569.21
42,Australia,MA Starc,82,8.20,107.89,430.915
43,Australia,AT Carey,77,25.66,111.59,557.355
44,Australia,A Zampa,60,8.57,63.15,276.73
45,Australia,AJ Tye,57,14.25,118.75,508.25
46,Australia,MC Henriques,45,11.25,80.35,354.34999999999997
47,Australia,CL White,35,17.50,66.03,344.855
48,Australia,CP Tremain,23,23.00,62.16,367.06
49,Australia,JA Richardson,21,10.50,61.76,284.40999999999997
50,Australia,CA Lynn,16,16.00,133.33,570.655
51,Australia,KW Richardson,15,5.00,44.11,186.885
52,Australia,NM Coulter-Nile,10,3.33,38.46,156.25500000000002
53,Australia,NM Lyon,8,8.00,42.10,199.35
54,Australia,MG Neser,8,4.00,50.00,201.0
55,Australia,SM Boland,7,3.50,70.00,267.75
56,Australia,DJ Worrall,6,0,150.00,525.0
57,Australia,JR Hazlewood,5,2.50,31.25,125.625
58,Australia,SD Heazlett,4,4.00,36.36,153.26
59,Australia,B Stanlake,4,2.00,15.38,66.83000000000001
60,Australia,HWR Cartwright,2,1.00,8.69,36.915
61,Australia,JM Mennie,1,0.50,25.00,90.75
62,SouthAfrica,Q de Kock,1605,51.77,100.81,689.34
63,SouthAfrica,F du Plessis,1428,54.92,93.70,684.9300000000001
64,SouthAfrica,HM Amla,1251,40.35,90.65,579.5500000000001
65,SouthAfrica,JP Duminy,896,33.18,88.10,524.02
66,SouthAfrica,AB de Villiers,835,52.18,115.97,745.065
67,SouthAfrica,DA Miller,769,42.72,104.20,642.38
68,SouthAfrica,AK Markram,320,24.61,86.25,461.84000000000003
69,SouthAfrica,RR Rossouw,311,77.75,100.32,856.495
70,SouthAfrica,AL Phehlukwayo,296,26.90,88.88,485.92999999999995
71,SouthAfrica,CH Morris,241,20.08,98.77,476.215
72,SouthAfrica,H Klaasen,234,29.25,87.96,497.98499999999996
73,SouthAfrica,F Behardien,206,34.33,128.75,673.77
74,SouthAfrica,RR Hendricks,176,29.33,95.65,525.4200000000001
75,SouthAfrica,T Bavuma,161,80.50,94.70,854.7
76,SouthAfrica,K Zondo,142,35.50,63.39,452.615
77,SouthAfrica,K Rabada,111,18.50,94.87,452.295
78,SouthAfrica,WD Parnell,102,20.40,114.60,533.6999999999999
79,SouthAfrica,D Pretorius,86,17.20,107.50,488.05
80,SouthAfrica,DW Steyn,70,70.00,75.26,718.4100000000001
81,SouthAfrica,PWA Mulder,57,14.25,73.07,348.37
82,SouthAfrica,C Jonker,31,15.50,93.93,429.505
83,SouthAfrica,KA Maharaj,25,12.50,96.15,417.77500000000003
84,SouthAfrica,M Morkel,22,5.50,81.48,320.93
85,SouthAfrica,L Ngidi,15,15.00,62.50,316.25
86,SouthAfrica,Imran Tahir,12,2.40,37.50,146.85
87,SouthAfrica,CJ Dala,8,8.00,133.33,518.655
88,SouthAfrica,D Elgar,6,3.00,35.29,143.015
89,SouthAfrica,KJ Abbott,0,0.00,0.00,0.0
90,SouthAfrica,T Shamsi,0,0.00,0.00,0.0
91,SouthAfrica,D Paterson,0,0,0,0.0
92,SouthAfrica,AM Phangiso,0,0,0,0.0
93,Westindies,SD Hope,1115,37.16,66.32,473.65999999999997
94,Westindies,E Lewis,1010,32.58,82.31,499.855
95,Westindies,JO Holder,785,29.07,98.24,532.795
96,Westindies,R Powell,593,29.65,89.17,504.82000000000005
97,Westindies,JN Mohammed,545,25.95,71.33,418.33
98,Westindies,CH Gayle,506,33.73,101.40,574.145
99,Westindies,SO Hetmyer,479,39.91,96.76,598.075
100,Westindies,MN Samuels,408,29.14,70.10,434.76
101,Westindies,AR Nurse,313,17.38,89.68,426.85
102,Westindies,JL Carter,312,26.00,73.93,427.755
103,Westindies,KC Brathwaite,278,27.80,57.55,382.125
104,Westindies,CR Brathwaite,166,13.83,93.78,418.125
105,Westindies,KA Hope,138,23.00,71.87,401.045
106,Westindies,KOA Powell,129,12.90,65.15,311.87500000000006
107,Westindies,D Bishoo,109,13.62,62.64,307.77
108,Westindies,AS Joseph,104,34.66,85.95,526.115
109,Westindies,DM Bravo,90,30.00,63.38,416.83000000000004
110,Westindies,D Ramdin,79,26.33,68.69,411.55999999999995
111,Westindies,J Charles,69,11.50,83.13,365.705
112,Westindies,RL Chase,68,13.60,64.15,312.925
113,Westindies,KA Pollard,42,14.00,75.00,353.5
114,Westindies,SW Ambris,38,0,140.74,492.59000000000003
115,Westindies,CAK Walton,36,9.00,64.28,283.48
116,Westindies,SJ Benn,34,11.33,87.17,378.74
117,Westindies,KMA Paul,25,8.33,71.42,304.115
118,Westindies,SP Narine,24,12.00,92.30,401.05
119,Westindies,NO Miller,20,0,48.78,170.73000000000002
120,Westindies,KOK Williams,19,19.00,70.37,369.795
121,Westindies,ST Gabriel,18,3.60,39.13,160.35500000000002
122,Westindies,RR Beaton,15,15.00,29.41,200.435
123,Westindies,AD Russell,13,13.00,108.33,463.655
124,Westindies,SS Cottrell,11,5.50,73.33,292.405
125,Westindies,ML Cummins,10,5.00,37.03,162.10500000000002
126,Westindies,V Permaul,8,8.00,160.00,612.0
127,Westindies,JE Taylor,2,1.00,40.00,146.5
128,Westindies,KAJ Roach,0,0.00,0.00,0.0
129,Newzealand,LRPL Taylor,1560,57.77,83.91,669.19
130,Newzealand,KS Williamson,1490,46.56,81.33,587.295
131,Newzealand,TWM Latham,1217,36.87,86.68,543.035
132,Newzealand,MJ Guptill,1132,41.92,87.68,579.36
133,Newzealand,C Munro,661,25.42,110.53,552.085
134,Newzealand,NT Broom,610,38.12,88.92,559.0
135,Newzealand,JDS Neesham,573,30.15,94.71,527.4599999999999
136,Newzealand,MJ Santner,477,22.71,84.27,442.56
137,Newzealand,HM Nicholls,376,34.18,92.15,544.695
138,Newzealand,C de Grandhomme,353,35.30,110.31,615.5350000000001
139,Newzealand,TG Southee,242,15.12,110.50,485.03
140,Newzealand,L Ronchi,238,18.30,102.14,476.44
141,Newzealand,GH Worker,184,36.80,77.31,509.785
142,Newzealand,DG Brownlie,158,26.33,74.17,430.74
143,Newzealand,CJ Anderson,93,10.33,68.88,308.22499999999997
144,Newzealand,MJ Henry,84,21.00,92.30,459.55
145,Newzealand,TD Astle,69,34.50,113.11,620.135
146,Newzealand,TA Boult,63,9.00,69.23,300.805
