,Nation,Playername,Wickets,Average,Economy,Strikerate,score
0,England,JM Anderson,106,20.82,2.38,52.4,10.22
1,England,SCJ Broad,81,31.09,2.81,66.3,22.990000000000002
2,England,MM Ali,72,37.66,3.47,65.0,30.459999999999997
3,England,BA Stokes,52,28.25,3.19,53.0,23.05
4,England,AU Rashid,40,34.47,3.68,56.1,30.47
5,England,CR Woakes,38,39.52,3.09,76.6,35.720000000000006
6,England,TS Roland-Jones,17,19.64,3.73,31.5,17.94
7,England,SM Curran,13,23.23,3.28,42.3,21.93
8,England,LA Dawson,7,42.57,3.39,75.1,41.87
9,England,C Overton,7,42.28,3.52,72.0,41.58
10,England,JE Root,6,43.50,2.99,87.1,42.9
11,England,ZS Ansari,5,55.00,4.04,81.6,54.5
12,England,ST Finn,5,54.40,3.31,98.6,53.9
13,England,MA Wood,5,78.40,3.09,151.8,77.9
14,England,GJ Batty,4,45.25,3.39,80.0,44.85
15,England,DM Bess,3,40.33,3.82,63.3,40.03
16,England,JT Ball,2,127.50,3.80,201.0,127.3
17,England,TK Curran,2,100.00,3.03,198.0,99.8
18,England,MJ Leach,2,56.50,2.21,153.0,56.3
19,England,MS Crane,1,193.00,4.02,288.0,192.9
20,England,KK Jennings,0,0,3.25,0,0.0
21,England,DJ Malan,0,0,2.69,0,0.0
22,England,JM Vince,0,0,2.00,0,0.0
23,England,T Westley,0,0,3.00,0,0.0
24,England,JM Bairstow,0,0,0,0,0.0
25,England,GS Ballance,0,0,0,0,0.0
26,England,JC Buttler,0,0,0,0,0.0
27,England,AN Cook,0,0,0,0,0.0
28,England,BM Duckett,0,0,0,0,0.0
29,England,AD Hales,0,0,0,0,0.0
30,England,H Hameed,0,0,0,0,0.0
31,England,OJ Pope,0,0,0,0,0.0
32,England,MD Stoneman,0,0,0,0,0.0
33,Australia,NM Lyon,108,31.87,2.91,65.6,21.07
34,Australia,MA Starc,86,26.74,3.33,48.0,18.14
35,Australia,JR Hazlewood,76,28.55,2.64,64.6,20.950000000000003
36,Australia,PJ Cummins,59,24.66,2.95,50.1,18.759999999999998
37,Australia,SNJ O'Keefe,25,26.92,2.57,62.7,24.42
38,Australia,JM Bird,13,39.30,3.27,72.0,38.0
39,Australia,AC Agar,7,23.14,2.62,52.8,22.44
40,Australia,MR Marsh,7,75.71,3.60,126.0,75.00999999999999
41,Australia,JM Holland,6,66.66,3.60,111.0,66.06
42,Australia,PM Siddle,6,26.00,2.32,67.0,25.4
43,Australia,CJ Sayers,2,73.00,2.97,147.0,72.8
44,Australia,M Labuschagne,1,29.00,3.62,48.0,28.9
45,Australia,GJ Maxwell,1,70.00,3.50,120.0,69.9
46,Australia,JM Mennie,1,85.00,3.03,168.0,84.9
47,Australia,SPD Smith,1,95.00,3.25,175.0,94.9
48,Australia,HWR Cartwright,0,0,3.44,0,0.0
49,Australia,MC Henriques,0,0,4.50,0,0.0
50,Australia,UT Khawaja,0,0,1.00,0,0.0
51,Australia,NJ Maddinson,0,0,4.50,0,0.0
52,Australia,MT Renshaw,0,0,3.25,0,0.0
